"",A,B,C,D,F,I,S,U,V,W Aver. Tota
Accounting - ACCT 2101 A,15,16,11,,1,,1,,,5 3.02 49
Accounting - ACCT 2101 B,32,23,7,,1,,,,,5 3.35 68
Accounting - ACCT 2101 C,36,11,15,7,1,,,,,3.06 70
Accounting - ACCT 2101 D,18,9,5,,1,,1,,,2 3.30 36
Accounting - ACCT 2101 E,38,14,13,1,,,,,,3 3.35 69
Accounting - ACCT 2102 A,29,25,6,5,,,,,,4 3.20 69
Accounting - ACCT 2102 B,25,19,13,4,1,,,,1,4 3.02 67
Accounting - ACCT 2102 C,20,19,6,1,,,,,,3.26 46
Aerospace Engineering - AE 1355 CLA,3,,,,,,,,,4.00 3
Aerospace Engineering - AE 1355 MAV,10,1,,,,,,,,3.91 11
Aerospace Engineering - AE 1601 A,42,2,1,,,,,,,1 3.91 46
Aerospace Engineering - AE 1601 B,42,1,,,,,,,,3.98 43
Aerospace Engineering - AE 1601 C,30,5,1,,,,,,,2 3.81 38
Aerospace Engineering - AE 2010 A,23,20,14,5,3,,,,,5 2.85 70
Aerospace Engineering - AE 2010 B,7,17,12,6,2,,,,,2 2.48 46
Aerospace Engineering - AE 2010 R,1,1,2,,,,,,,2.75 4
Aerospace Engineering - AE 2220 A,24,20,8,1,1,,,,,2 3.20 56
Aerospace Engineering - AE 2220 B,32,1,3,,,,,,,8 3.81 44
Aerospace Engineering - AE 2220 R,2,3,2,,1,,,,,2.63 8
Aerospace Engineering - AE 2355 CLA,2,,,,,,,,,4.00 2
Aerospace Engineering - AE 2355 MAV,10,,1,,,,,,,3.82 11
Aerospace Engineering - AE 2610 A,11,3,1,1,,,,,,3 3.50 19
Aerospace Engineering - AE 2610 B,9,5,2,,,,,,,3 3.44 19
Aerospace Engineering - AE 2610 C,14,3,,,,,,,,2 3.82 19
Aerospace Engineering - AE 2610 D,10,4,3,,1,,,,,1 3.22 19
Aerospace Engineering - AE 2610 E,15,1,1,,1,,,,,2 3.61 20
Aerospace Engineering - AE 2611 A,59,17,2,1,,,,,,9 3.70 88
Aerospace Engineering - AE 2698 MAV,,,,,,,,,1,1
Aerospace Engineering - AE 2699 COS,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 2699 FEI,2,,,,,,,,,4.00 2
Aerospace Engineering - AE 2699 GUN,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 2699 HOL,8,,,,,,,,,4.00 8
Aerospace Engineering - AE 2699 JOH,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 2699 KOM,2,,,,,,,,,4.00 2
Aerospace Engineering - AE 2699 LIE,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 2699 LIG,4,,,,,,,,,4.00 4
Aerospace Engineering - AE 2699 MAV,16,,,,,,,,,4.00 16
Aerospace Engineering - AE 2699 SEI,3,,,,,,,,,4.00 3
Aerospace Engineering - AE 2802 B,,,1,,,,,,,2.00 1
Aerospace Engineering - AE 3030 A,34,11,16,4,8,,,,,9 2.81 82
Aerospace Engineering - AE 3030 B,66,19,9,1,,,,,,3 3.58 98
