,0,1,2,3,4,5,6,7
0,201702,Elementary Russian I,24151,RUSS 1001,E,4.000,12:05 pm - 12:55 pm,Tatiana   Kozhanova 
1,201702,Elementary Russian I,22904,RUSS 1001,U,4.000,11:05 am - 11:55 am,Natasha   Anthony 
2,201702,Elementary Russian I,22906,RUSS 1001,UA,4.000,11:05 am - 11:55 am,Natasha   Anthony 
3,201702,Elementary Russian II,21679,RUSS 1002,C,4.000,10:05 am - 10:55 am,Natalia V  Myshkin 
4,201702,Elementary Russian II,23577,RUSS 1002,E,4.000,12:05 pm - 12:55 pm,Natalia V  Myshkin 
5,201702,Elementary Russian II,22907,RUSS 1002,U,4.000,4:05 pm - 4:55 pm,Natasha   Anthony 
6,201702,Elementary Russian II,22908,RUSS 1002,UA,4.000,4:05 pm - 4:55 pm,Natasha   Anthony 
7,201702,Intermediate Russian II,22098,RUSS 2002,G,3.000,2:05 pm - 2:55 pm,Natalia V  Myshkin 
8,201702,Intermediate Russian II,26937,RUSS 2002,U,3.000,5:05 pm - 5:55 pm,Natasha   Anthony 
9,201702,Intermediate Russian II,26938,RUSS 2002,UA,3.000,5:05 pm - 5:55 pm,Natasha   Anthony 
10,201702,Advanced Russian II,22099,RUSS 3002,E,3.000,12:05 pm - 12:55 pm,Dina   Khapaeva 
11,201702,Russian for Herit Spkrs,30931,RUSS 3005,E,3.000,12:05 pm - 12:55 pm,Dina   Khapaeva 
12,201702,Intercultural Seminar,27593,RUSS 4500,G,3.000,2:05 pm - 2:55 pm,Dina   Khapaeva 
13,201702,Intro-Environmental Sci,20714,EAS 1600,A,4.000,1:35 pm - 2:55 pm,Nicole Beth  Lopanik 
14,201702,Habitable Planet,20305,EAS 1601,A,4.000,12:05 pm - 1:25 pm,Britney Elyce  Schmidt 
15,201702,Environmental Measures,30178,EAS 2420,A,3.000,3:05 pm - 4:25 pm,Michael Eppard  Chang 
16,201702,Earth Processes,21418,EAS 2600,A,4.000,9:35 am - 10:55 am,Meg Camille  Grantham 
17,201702,Quantitative Techniques,26694,EAS 2655,A,3.000,10:05 am - 10:55 am,Takamitsu   Ito 
18,201702,Special Topics,30900,EAS 2803,SLS,3.000,12:05 pm - 1:25 pm,Latife Beril  Toktay-Tsiotras 
19,201702,"Energy, Environ, Society",27493,EAS 3110,A,3.000,3:05 pm - 4:25 pm,Kim M  Cobb 
20,201702,Structural Geology,30169,EAS 4200,A,4.000,1:35 pm - 2:55 pm,Kenneth Leslie  Ferrier 
