,index_x,term,name,crn,course_num,section,credits,time,prof,index_y,gpa,enrollment
16999,16999,201505,Intro-Cognitive Science,55110,CS 6795,A,3.0,4:00 pm - 5:45 pm,Maithilee   Kunda ,,,
17000,17000,201505,Game AI,56214,CS 7632,A,3.0,12:00 pm - 1:45 pm,Stephen   Urban ,,,
17001,17001,201505,Knowledge-Based AI,56426,CS 7637,O01,3.0,"<ABBR title = ""To Be Announced"">TBA</ABBR>",David Andrew  Joyner ,,,
17002,17002,201505,Special Topics,56470,CS 8803,AAP,3.0,"<ABBR title = ""To Be Announced"">TBA</ABBR>",Joel S  Sokol ,,,
17003,17003,201505,Special Topics,55721,CS 8803,GPU,3.0,4:00 pm - 5:10 pm,Aaron D.  Lanterman ,,,
17004,17004,201505,Special Topics,55102,CS 8803,MAS,3.0,12:00 pm - 1:45 pm,Russell Jack  Clark ,,,
17005,17005,201505,Special Topics,55956,CS 8803,O01,3.0,"<ABBR title = ""To Be Announced"">TBA</ABBR>",Sebastian   Thrun ,,,
17006,17006,201505,Special Topics,56424,CS 8803,O02,3.0,"<ABBR title = ""To Be Announced"">TBA</ABBR>",Ada   Gavrilovska ,,,
17007,17007,201505,Intro-Environmental Sci,53807,EAS 1600,A,4.0,10:00 am - 11:45 am,James C  St John ,,,
17008,17008,201505,Earth Processes,54183,EAS 2600,A,4.0,12:00 pm - 1:45 pm,Meg Camille  Grantham ,,,
17009,17009,201505,Seismology,56662,EAS 6314,A,3.0,"<ABBR title = ""To Be Announced"">TBA</ABBR>",Andrew Vern  Newman ,,,
17010,17010,201505,Prin&Appl-Engr Materials,53300,MSE 2001,B,3.0,10:00 am - 11:45 am,Christopher Lado  Muhlstein ,,,
17011,17011,201505,Prin&Appl-Engr Materials,55056,MSE 2001,C,3.0,12:00 pm - 1:45 pm,Mohan   Srinivasarao ,,,
17012,17012,201505,Prin&Appl-Engr Materials,55057,MSE 2001,D,3.0,12:00 pm - 1:10 pm,Arun M  Gokhale ,,,
17013,17013,201505,Prin&Appl-Engr Materials,56233,MSE 2001,R,3.0,9:40 am - 11:10 am,William Brent  Carter ,,,
17014,17014,201505,Prin&Appl-Engr Materials,54216,MSE 2001,R1,3.0,12:30 pm - 1:25 pm,Thomas H  Sanders ,,,
17015,17015,201505,Prin&Appl-Engr Materials,54217,MSE 2001,R2,3.0,1:30 pm - 2:25 pm,Thomas H  Sanders ,,,
17016,17016,201505,Prin&Appl-Engr Materials,56375,MSE 2001,R3,3.0,"<ABBR title = ""To Be Announced"">TBA</ABBR>",Mo   Li ,,,
17017,17017,201505,Intro Poly/Fib Enterpris,54559,MSE 3720,A,3.0,12:00 pm - 1:45 pm,Fred Leon  Cook ,,,
17018,17018,201505,Materials Laboratory II,56412,MSE 4022,A,2.0,"<ABBR title = ""To Be Announced"">TBA</ABBR>",Naresh N  Thadhani ,7989.0,2.0,1.0
17019,17019,201505,Ethical Theories,56351,PHIL 3105,JB,3.0,2:00 pm - 3:45 pm,Jason D  Borenstein ,,,
17020,17020,201505,Engineering Ethics,56246,PHIL 3109,R,3.0,11:20 am - 12:50 pm,Juan Douglas  Rogers ,,,
17021,17021,201505,Engineering Ethics,55475,PHIL 3109,RK,3.0,10:00 am - 11:45 am,Robert   Kirkman ,,,
17022,17022,201505,Engineering Ethics,55636,PHIL 3109,RR,3.0,12:00 pm - 1:45 pm,Robert   Rosenberger ,,,
17023,17023,201505,"Sci, Tech & Human Values",56348,PHIL 3127,BH,3.0,8:00 am - 10:35 am,James Britt  Holbrook ,,,
17024,17024,201505,"Sci, Tech & Human Values",55619,PHIL 3127,R,3.0,1:15 pm - 2:45 pm,Juan Douglas  Rogers ,,,
17025,17025,201505,Environmental Ethics,55491,PHIL 4176,RK,3.0,12:00 pm - 1:45 pm,Robert   Kirkman ,,,
17026,17026,201505,Responsible Conduct-Res,54536,PHIL 6000,B1,1.0,"<ABBR title = ""To Be Announced"">TBA</ABBR>",Tibor   Besedes ,,,
17027,17027,201505,Responsible Conduct-Res,54538,PHIL 6000,B2,1.0,"<ABBR title = ""To Be Announced"">TBA</ABBR>",Tibor   Besedes ,,,
17028,17028,201505,Responsible Conduct-Res,54539,PHIL 6000,B3,1.0,"<ABBR title = ""To Be Announced"">TBA</ABBR>",Tibor   Besedes ,,,
17029,17029,201505,Responsible Conduct-Res,54540,PHIL 6000,E1,1.0,"<ABBR title = ""To Be Announced"">TBA</ABBR>",Martin   Engman ,,,
17030,17030,201505,Responsible Conduct-Res,54541,PHIL 6000,E2,1.0,"<ABBR title = ""To Be Announced"">TBA</ABBR>",Martin   Engman ,,,
17031,17031,201505,Responsible Conduct-Res,55127,PHIL 6000,E3,1.0,"<ABBR title = ""To Be Announced"">TBA</ABBR>",Martin   Engman ,,,
17032,17032,201505,Responsible Conduct-Res,54535,PHIL 6000,R1,1.0,"<ABBR title = ""To Be Announced"">TBA</ABBR>",Joy D  Robinson ,,,
17033,17033,201505,Responsible Conduct-Res,54534,PHIL 6000,R2,1.0,"<ABBR title = ""To Be Announced"">TBA</ABBR>",Joy D  Robinson ,,,
17034,17034,201505,Responsible Conduct-Res,54537,PHIL 6000,R3,1.0,"<ABBR title = ""To Be Announced"">TBA</ABBR>",Joy D  Robinson ,,,
17035,17035,201505,Conservation Prin in BME,56493,BMED 2210,A,4.0,2:00 pm - 3:45 pm,Michael Aaron  Filler ,,,
17036,17036,201505,Conservation Prin in BME,56494,BMED 2210,B,4.0,2:00 pm - 3:45 pm,Michael Aaron  Filler ,,,
17037,17037,201505,Problems in Biomed Engr,56311,BMED 2250,A,3.0,1:20 pm - 2:30 pm,Barbara   Fasse ,,,
17038,17038,201505,Intro Biomed Engr Design,56274,BMED 2310,A,3.0,2:00 pm - 3:45 pm,James Keith  Rains ,,,
17039,17039,201505,Systems Physiology,56322,BMED 3100,A,3.0,10:00 am - 11:45 am,Linda Rosemary  Harley ,,,
17040,17040,201505,Quant Engr Physio Lab I,52848,BMED 3110,A,2.0,8:45 am - 9:55 am,Esfandiar   Behravesh ,,,
17041,17041,201505,Biotransport,56540,BMED 3310,A,3.0,12:00 pm - 2:00 pm,Barbara Anne Norton  McCord ,,,
17042,17042,201505,Biotransport,56231,BMED 3310,R,3.0,8:30 am - 10:30 am,Christopher Ross  Ethier ,,,
17043,17043,201505,Biomed Sys & Modeling,56232,BMED 3520,R,3.0,1:00 pm - 3:00 pm,Joseph   LeDoux ,,,
17044,17044,201505,Physio Cell & Mol  Syst,55670,BMED 3600,R,3.0,9:00 am - 11:00 am,Shannon   Barker ,,,
17045,17045,201505,Quant Engr Physio Lab II,54714,BMED 3610,A,2.0,2:40 pm - 3:50 pm,Balakrishna S  Pai ,,,
17046,17046,201505,Biomed Instrumentation,55642,BMED 4781,R,3.0,2:30 pm - 4:30 pm,Paul J  Benkeser ,,,
