0,1,2,3,4,5,6,7,8,9,10,11,12
2017,fall,ABE,594,0,UNKNOWN,47356,Lecture-Discussion,AL1,12:00 PM - 12:50 PM,F,204 Agricultural Engr Sciences Bld,"Chu, M"
2017,fall,ABE,598,1,UNKNOWN,69175,Lecture-Discussion,DLB,11:00 AM - 11:50 AM,W,248 Agricultural Engr Sciences Bld,"LeBauer, D"
2017,fall,ACCY,201,3,UNKNOWN,36474,Lecture,AL1,11:00 AM - 12:20 PM,TR,THEAT Lincoln Hall,"Curtis, S"
2017,fall,ACCY,201,3,UNKNOWN,36477,Lecture,AL2,12:30 PM - 01:50 PM,TR,66 Library,"Curtis, S"
2017,fall,ACCY,202,3,UNKNOWN,36549,Lecture,AL1,09:30 AM - 10:50 AM,MW,1001 Business Instructional Fac,"Shapland, J"
2017,fall,ACCY,301,3,UNKNOWN,36577,Lecture-Discussion,AE1,08:00 AM - 09:20 AM,MW,2063 Business Instructional Fac,"Anderson, S"
2017,fall,ACCY,301,3,UNKNOWN,36581,Lecture-Discussion,AE2,09:30 AM - 10:50 AM,MW,2063 Business Instructional Fac,"Anderson, S"
2017,fall,ACCY,301,3,UNKNOWN,36584,Lecture-Discussion,AE3,11:00 AM - 12:20 PM,MW,2063 Business Instructional Fac,"Anderson, S"
2017,fall,ACCY,301,3,UNKNOWN,36587,Lecture-Discussion,AE4,02:00 PM - 03:20 PM,TR,3001 Business Instructional Fac,"Wang, Z"
2017,fall,ACCY,301,3,UNKNOWN,36590,Lecture-Discussion,AE5,11:00 AM - 12:20 PM,TR,3001 Business Instructional Fac,"Wang, Z"
2017,fall,ACCY,301,3,UNKNOWN,36592,Lecture-Discussion,AE6,12:30 PM - 01:50 PM,MW,2005 Business Instructional Fac,"Sougiannis, T"
2017,fall,ACCY,301,3,UNKNOWN,36598,Lecture-Discussion,AE8,12:30 PM - 01:50 PM,TR,3001 Business Instructional Fac,"Wang, Z"
2017,fall,ACCY,301,3,UNKNOWN,49255,Lecture-Discussion,AEB,02:00 PM - 03:20 PM,MW,2005 Business Instructional Fac,"Sougiannis, T"
2017,fall,ACCY,302,3,UNKNOWN,36610,Lecture-Discussion,AE1,08:00 AM - 09:20 AM,TR,2005 Business Instructional Fac,"Finnegan, T"
2017,fall,ACCY,302,3,UNKNOWN,36614,Lecture-Discussion,AE2,09:30 AM - 10:50 AM,TR,2005 Business Instructional Fac,"Finnegan, T"
2017,fall,ACCY,302,3,UNKNOWN,36618,Lecture-Discussion,AE3,03:30 PM - 04:50 PM,TR,3003 Business Instructional Fac,"Wu, M"
2017,fall,ACCY,302,3,UNKNOWN,36677,Lecture-Discussion,AE4,12:30 PM - 01:50 PM,TR,3003 Business Instructional Fac,"Wu, M"
2017,fall,ACCY,302,3,UNKNOWN,36680,Lecture-Discussion,AE5,11:00 AM - 12:20 PM,TR,2005 Business Instructional Fac,"Finnegan, T"
2017,fall,ACCY,302,3,UNKNOWN,36688,Lecture-Discussion,AE8,09:30 AM - 10:50 AM,TR,3057 Business Instructional Fac,"Wu, M"
2017,fall,ACCY,302,3,UNKNOWN,49258,Lecture-Discussion,AEA,02:00 PM - 03:20 PM,TR,3003 Business Instructional Fac,"Wu, M"
2017,fall,ACCY,303,3,UNKNOWN,36692,Lecture-Discussion,AE1,08:00 AM - 09:20 AM,MW,152 Wohlers Hall,"Zhu, W"
2017,fall,ACCY,303,3,UNKNOWN,36700,Lecture-Discussion,AE2,09:30 AM - 10:50 AM,MW,152 Wohlers Hall,"Zhu, W"
2017,fall,ACCY,303,3,UNKNOWN,36701,Lecture-Discussion,AE3,11:00 AM - 12:20 PM,MW,152 Wohlers Hall,"Brown, T"
2017,fall,ACCY,303,3,UNKNOWN,36713,Lecture-Discussion,AE4,12:30 PM - 01:50 PM,MW,152 Wohlers Hall,"Brown, T"
2017,fall,ACCY,303,3,UNKNOWN,49259,Lecture-Discussion,AE5,02:00 PM - 03:20 PM,MW,152 Wohlers Hall,"Zhu, W"
2017,fall,ACCY,303,3,UNKNOWN,36703,Lecture-Discussion,AE6,03:30 PM - 04:50 PM,MW,152 Wohlers Hall,"Brown, T"
2017,fall,ACCY,303,3,UNKNOWN,67818,Lecture-Discussion,AE7,11:00 AM - 12:20 PM,MW,2005 Business Instructional Fac,"Li, W"
2017,fall,ACCY,304,3,UNKNOWN,31317,Lecture-Discussion,AE1,08:00 AM - 09:20 AM,TR,152 Wohlers Hall,"Koo, S"
2017,fall,ACCY,304,3,UNKNOWN,31318,Lecture-Discussion,AE2,09:30 AM - 10:50 AM,TR,152 Wohlers Hall,"Koo, S"
2017,fall,ACCY,304,3,UNKNOWN,31319,Lecture-Discussion,AE3,02:00 PM - 03:20 PM,TR,3009 Business Instructional Fac,"Koo, S"
2017,fall,ACCY,304,3,UNKNOWN,31320,Lecture-Discussion,AE4,03:30 PM - 04:50 PM,TR,2057 Business Instructional Fac,"Wang, W"
2017,fall,ACCY,304,3,UNKNOWN,49280,Lecture-Discussion,AE5,02:00 PM - 03:20 PM,TR,2057 Business Instructional Fac,"Wang, W"
2017,fall,ACCY,304,3,UNKNOWN,62036,Lecture-Discussion,AE6,11:00 AM - 12:20 PM,TR,1049 Business Instructional Fac,"Wang, W"
2017,fall,ACCY,312,3,UNKNOWN,31321,Lecture-Discussion,A,08:00 AM - 09:20 AM,MW,3003 Business Instructional Fac,"Holder, D"
2017,fall,ACCY,312,3,UNKNOWN,31324,Lecture-Discussion,B,12:30 PM - 01:50 PM,MW,3001 Business Instructional Fac,"Holder, C"
2017,fall,ACCY,312,3,UNKNOWN,31330,Lecture-Discussion,C,02:00 PM - 03:20 PM,MW,3001 Business Instructional Fac,"Holder, C"
2017,fall,ACCY,312,3,UNKNOWN,31332,Lecture-Discussion,D,03:30 PM - 04:50 PM,MW,2063 Business Instructional Fac,"Holder, D"
2017,fall,ACCY,312,3,UNKNOWN,31333,Lecture-Discussion,E,08:00 AM - 09:20 AM,TR,2001 Business Instructional Fac,"Hutchens, M"
2017,fall,ACCY,312,3,UNKNOWN,45719,Lecture-Discussion,F,12:30 PM - 01:50 PM,TR,2005 Business Instructional Fac,"Hutchens, M"
2017,fall,ACCY,312,3,UNKNOWN,45934,Lecture-Discussion,G,09:30 AM - 10:50 AM,TR,2001 Business Instructional Fac,"Hutchens, M"
2017,fall,ACCY,352,3,UNKNOWN,37947,Lecture-Discussion,D,08:00 AM - 10:50 AM,M,2057 Business Instructional Fac,"Pamuksuz, U"
2017,fall,ACCY,352,3,UNKNOWN,68119,Lecture-Discussion,E,05:00 PM - 07:50 PM,M,2063 Business Instructional Fac,"Pamuksuz, U"
2017,fall,ACCY,353,3,UNKNOWN,37944,Lecture-Discussion,D,03:30 PM - 04:50 PM,MW,226 Wohlers Hall,"Haran, V"
2017,fall,ACCY,353,3,UNKNOWN,37945,Lecture-Discussion,F,02:00 PM - 03:20 PM,MW,240 Wohlers Hall,"Haran, V"
2017,fall,ACCY,405,3,UNKNOWN,36758,Lecture-Discussion,AE2,02:00 PM - 03:20 PM,MW,3003 Business Instructional Fac,"Bauer, T"
2017,fall,ACCY,405,3,UNKNOWN,36764,Lecture-Discussion,AE3,12:30 PM - 01:50 PM,MW,3003 Business Instructional Fac,"Bauer, T"
2017,fall,ACCY,405,3,UNKNOWN,54162,Lecture-Discussion,AE7,09:30 AM - 10:50 AM,MW,3001 Business Instructional Fac,"Bauer, T"
2017,fall,ACCY,410,3,UNKNOWN,61231,Lecture-Discussion,B3,09:30 AM - 10:50 AM,TR,3003 Business Instructional Fac,"Steward, C"
2017,fall,ACCY,410,3,UNKNOWN,64652,Lecture-Discussion,B4,09:30 AM - 10:50 AM,TR,3003 Business Instructional Fac,"Steward, C"
