0,1,2,3,4,5,6,7,8,9,10,11,12
2018,fall,ACCY,301,3,UNKNOWN,36577,Lecture-Discussion,AE1,08:00 AM - 09:20 AM,MW,2063 Business Instructional Fac,"Li, W"
2018,fall,ACCY,301,3,UNKNOWN,36581,Lecture-Discussion,AE2,09:30 AM - 10:50 AM,MW,2063 Business Instructional Fac,"Anderson, S"
2018,fall,ACCY,301,3,UNKNOWN,36584,Lecture-Discussion,AE3,11:00 AM - 12:20 PM,MW,2063 Business Instructional Fac,"Anderson, S"
2018,fall,ACCY,301,3,UNKNOWN,36587,Lecture-Discussion,AE4,02:00 PM - 03:20 PM,TR,3001 Business Instructional Fac,"Wang, Z"
2018,fall,ACCY,301,3,UNKNOWN,36590,Lecture-Discussion,AE5,11:00 AM - 12:20 PM,TR,3001 Business Instructional Fac,"Li, W"
2018,fall,ACCY,301,3,UNKNOWN,36592,Lecture-Discussion,AE6,12:30 PM - 01:50 PM,MW,2005 Business Instructional Fac,"Sougiannis, T"
2018,fall,ACCY,301,3,UNKNOWN,36598,Lecture-Discussion,AE8,12:30 PM - 01:50 PM,TR,3001 Business Instructional Fac,"Wang, Z"
2018,fall,ACCY,301,3,UNKNOWN,49255,Lecture-Discussion,AEB,02:00 PM - 03:20 PM,MW,2005 Business Instructional Fac,"Sougiannis, T"
2018,fall,ACCY,302,3,UNKNOWN,36610,Lecture-Discussion,AE1,08:00 AM - 09:20 AM,TR,2005 Business Instructional Fac,"Finnegan, T"
2018,fall,ACCY,302,3,UNKNOWN,36614,Lecture-Discussion,AE2,09:30 AM - 10:50 AM,TR,2005 Business Instructional Fac,"Finnegan, T"
2018,fall,ACCY,302,3,UNKNOWN,36618,Lecture-Discussion,AE3,03:30 PM - 04:50 PM,TR,3003 Business Instructional Fac,"Wu, M"
2018,fall,ACCY,302,3,UNKNOWN,36677,Lecture-Discussion,AE4,12:30 PM - 01:50 PM,TR,2005 Business Instructional Fac,"Curtis, S"
2018,fall,ACCY,302,3,UNKNOWN,36680,Lecture-Discussion,AE5,11:00 AM - 12:20 PM,TR,2005 Business Instructional Fac,"Curtis, S"
