0,1,2,3,4,5,6,7,8,9,10,11,12
2016,fall,ECON,490,3,UNKNOWN,66871,Lecture-Discussion,F4,03:30 PM - 04:50 PM,MW,106David Kinley Hall,"Chung, E"
2016,fall,ECON,490,3,UNKNOWN,66602,Lecture-Discussion,G3,03:30 PM - 04:50 PM,MW,115David Kinley Hall,"Amini Behbahani, A"
2016,fall,ECON,490,3,UNKNOWN,66647,Lecture-Discussion,H3,09:30 AM - 10:50 AM,TR,322David Kinley Hall,"Zhao, R"
2016,fall,ECON,490,3,UNKNOWN,66608,Lecture-Discussion,I3,09:30 AM - 10:50 AM,TR,113David Kinley Hall,"DiIanni, I"
2016,fall,ECON,490,3,UNKNOWN,66610,Lecture-Discussion,J3,09:30 AM - 10:50 AM,TR,115David Kinley Hall,"Marx, B"
2016,fall,ECON,490,3,UNKNOWN,66872,Lecture-Discussion,J4,09:30 AM - 10:50 AM,TR,115David Kinley Hall,"Marx, B"
2016,fall,ECON,490,3,UNKNOWN,66611,Lecture-Discussion,K3,11:00 AM - 12:20 PM,TR,111David Kinley Hall,"Arvan, L"
2016,fall,ECON,490,3,UNKNOWN,66873,Lecture-Discussion,K4,11:00 AM - 12:20 PM,TR,111David Kinley Hall,"Arvan, L"
2016,fall,ECON,490,3,UNKNOWN,66646,Lecture-Discussion,L3,11:00 AM - 12:20 PM,TR,113David Kinley Hall,"Shakiba, M"
2016,fall,ECON,490,3,UNKNOWN,66874,Lecture-Discussion,M3,11:00 AM - 12:20 PM,TR,209David Kinley Hall,"Buckley, B"
2016,fall,ECON,490,3,UNKNOWN,66875,Lecture-Discussion,M4,11:00 AM - 12:20 PM,TR,209David Kinley Hall,"Buckley, B"
2016,fall,ECON,490,3,UNKNOWN,66613,Lecture-Discussion,N3,12:30 PM - 01:50 PM,TR,106David Kinley Hall,"Shin, M"
2016,fall,ECON,490,3,UNKNOWN,66876,Lecture-Discussion,N4,12:30 PM - 01:50 PM,TR,106David Kinley Hall,"Shin, M"
2016,fall,ECON,490,3,UNKNOWN,66877,Lecture-Discussion,O3,12:30 PM - 01:50 PM,TR,113David Kinley Hall,"Wang, X"
2016,fall,ECON,490,3,UNKNOWN,66619,Lecture-Discussion,P3,02:00 PM - 03:20 PM,TR,113David Kinley Hall,"Das, S"
2016,fall,ECON,490,3,UNKNOWN,66622,Lecture-Discussion,Q3,03:30 PM - 04:50 PM,TR,113David Kinley Hall,"Li, Z"
2016,fall,ECON,490,3,UNKNOWN,63753,Lecture-Discussion,R3,02:00 PM - 03:20 PM,TR,329Davenport Hall,"Saenz Munoz, L"
2016,fall,ECON,543,3,UNKNOWN,33185,Lecture-Discussion,A,02:00 PM - 04:50 PM,R,35Inst Labor &  Industrial Rel,"Lamare, J"
2016,fall,ECON,543,3,UNKNOWN,67418,Lecture-Discussion,B,02:00 PM - 04:50 PM,R,35Inst Labor &  Industrial Rel,"Lamare, J"
2016,fall,ECON,546,4,UNKNOWN,66923,Lecture-Discussion,P,11:00 AM - 12:20 PM,TR,226Wohlers Hall,"Fullerton, D"
2016,fall,ECON,420,2,UNKNOWN,31786,Lecture-Discussion,A1,12:30 PM - 01:50 PM,TR,114David Kinley Hall,"Leite Estanislau do Amaral, L"
2016,fall,ECON,505,4,UNKNOWN,64712,Lecture-Discussion,M1,03:30 PM - 05:20 PM,MW,119David Kinley Hall,"Lemus Encalada, J"
2016,fall,ECON,502,4,,,Lecture,M1,08:00 AM - 09:50 AM,TR,119David Kinley Hall,"Toossi, A"
2016,fall,ECON,502,4,,,Lecture,M2,01:30 PM - 03:20 PM,TR,119David Kinley Hall,"Toossi, A"
2016,fall,ECON,500,4,,,Lecture,M1,10:00 AM - 11:50 AM,MW,119David Kinley Hall,"Krasa, S"
2016,fall,ECON,500,4,UNKNOWN,42432,Lecture-Discussion,M2,12:30 PM - 01:50 PM,F,119David Kinley Hall,"Krasa, S"
2016,fall,ECON,500,4,,,Lecture-Discussion,M2,01:30 PM - 03:20 PM,MW,119David Kinley Hall,"Krasa, S"
2016,fall,ECON,501,4,,,Lecture,M1,08:00 AM - 09:50 AM,MW,119David Kinley Hall,"Parente, S"
2016,fall,ECON,203,3,UNKNOWN,64678,Lecture,AL1,02:00 PM - 02:50 PM,MW,141Wohlers Hall,"Petry, J"
2016,fall,ECON,203,3,UNKNOWN,37869,Lecture,AL2,03:00 PM - 03:50 PM,MW,141Wohlers Hall,"Petry, J"
2016,fall,ECON,202,3,UNKNOWN,37839,Lecture,AL1,08:00 AM - 09:20 AM,TR,114David Kinley Hall,"Schultz, C"
2016,fall,ECON,202,3,UNKNOWN,37849,Lecture,AL2,09:30 AM - 10:50 AM,TR,114David Kinley Hall,"Schultz, C"
2016,fall,ECON,202,3,UNKNOWN,37859,Lecture,AL3,11:00 AM - 12:20 PM,TR,114David Kinley Hall,"Schultz, C"
2016,fall,ECON,580,4,UNKNOWN,66640,Lecture-Discussion,PHD,11:00 AM - 12:20 PM,TR,223David Kinley Hall,"Bernhardt, M"
2016,fall,ECON,302,3,UNKNOWN,59661,Lecture,AL1,11:00 AM - 12:20 PM,TR,100Gregory Hall,"DiIanni, I"
2016,fall,ECON,302,3,UNKNOWN,37918,Lecture,BL1,02:00 PM - 03:20 PM,TR,112Gregory Hall,"Buckley, B"
2016,fall,ECON,302,3,UNKNOWN,57863,Lecture,BL2,03:30 PM - 04:50 PM,TR,112Gregory Hall,"Buckley, B"
2016,fall,ECON,302,3,,,Lecture,HON,11:00 AM - 12:20 PM,TR,3057Business Instructional Fac,"Miller, N"
2016,fall,ECON,303,3,UNKNOWN,66603,Lecture-Discussion,2,03:30 PM - 04:50 PM,MW,123David Kinley Hall,"McDermott, E"
2016,fall,ECON,303,3,UNKNOWN,64271,Lecture,AL1,12:30 PM - 01:50 PM,TR,100Gregory Hall,"Zhao, R"
2016,fall,ECON,102,3,UNKNOWN,36218,Lecture,AL1,12:00 PM - 12:50 PM,TR,AUDFoellinger Auditorium,"Vazquez, J"
2016,fall,ECON,102,3,UNKNOWN,36383,Lecture,AL2,01:00 PM - 01:50 PM,TR,AUDFoellinger Auditorium,"Vazquez, J"
2016,fall,ECON,102,3,UNKNOWN,46770,Lecture,BL1,11:00 AM - 11:50 AM,MW,THEATLincoln Hall,"DiIanni, I"
2016,fall,ECON,102,3,UNKNOWN,63021,Lecture-Discussion,CHP,05:00 PM - 06:20 PM,TR,241Altgeld Hall,"Perry, M"
2016,fall,ECON,102,3,UNKNOWN,60804,Lecture,HON,11:00 AM - 12:20 PM,TR,106David Kinley Hall,"Perry, M"
2016,fall,ECON,102,3,UNKNOWN,36211,Lecture-Discussion,U1,10:00 AM - 11:20 AM,TR,40Allen Residence Hall,"Quigley, D"
2016,fall,ECON,103,3,UNKNOWN,37772,Lecture,AL1,10:00 AM - 10:50 AM,MW,AUDFoellinger Auditorium,"McDermott, E"
2016,fall,ECON,484,2,UNKNOWN,66593,Lecture-Discussion,A3,12:30 PM - 01:50 PM,MW,123David Kinley Hall,"Kindt, J"
2016,fall,ECON,484,2,UNKNOWN,66860,Lecture-Discussion,A4,12:30 PM - 01:50 PM,MW,123David Kinley Hall,"Kindt, J"
2016,fall,ECON,482,3,UNKNOWN,66582,Lecture-Discussion,A3,11:00 AM - 12:20 PM,MW,113David Kinley Hall,"Arnould, R"
2016,fall,ECON,482,3,UNKNOWN,66584,Lecture-Discussion,A4,11:00 AM - 12:20 PM,MW,113David Kinley Hall,"Arnould, R"
2016,fall,ECON,481,2,UNKNOWN,66577,Lecture-Discussion,A3,09:30 AM - 10:50 AM,MW,113David Kinley Hall,"Arnould, R"
2016,fall,ECON,481,2,UNKNOWN,66579,Lecture-Discussion,A4,09:30 AM - 10:50 AM,MW,113David Kinley Hall,"Arnould, R"
2016,fall,ECON,480,2,UNKNOWN,66616,Lecture-Discussion,A3,02:00 PM - 03:20 PM,TR,111David Kinley Hall,"Qiu, Z"
2016,fall,ECON,480,2,UNKNOWN,66847,Lecture-Discussion,A4,02:00 PM - 03:20 PM,TR,111David Kinley Hall,"Qiu, Z"
2016,fall,ECON,480,2,UNKNOWN,66621,Lecture-Discussion,B3,03:30 PM - 04:50 PM,TR,111David Kinley Hall,"Qiu, Z"
2016,fall,ECON,480,2,UNKNOWN,66853,Lecture-Discussion,B4,03:30 PM - 04:50 PM,TR,111David Kinley Hall,"Qiu, Z"
2016,fall,ECON,528,4,UNKNOWN,67629,Lecture-Discussion,EMB,ARRANGED -,,,"DeBrock, L"
2016,fall,ECON,532,4,,,Lecture,A1,08:00 AM - 09:50 AM,TR,123David Kinley Hall,"Bera, A"
2016,fall,ECON,414,3,UNKNOWN,66597,Lecture-Discussion,A3,02:00 PM - 03:20 PM,MW,113David Kinley Hall,"Albouy, D"
2016,fall,ECON,414,3,UNKNOWN,66732,Lecture-Discussion,A4,02:00 PM - 03:20 PM,MW,113David Kinley Hall,"Albouy, D"
2016,fall,ECON,536,4,UNKNOWN,66632,Lecture-Discussion,PHD,11:00 AM - 12:20 PM,F,223David Kinley Hall,"Hurtado Martilletti, CKoenker, R"
2016,fall,ECON,536,4,,,Lecture-Discussion,PHD,11:00 AM - 12:20 PM,MW,223David Kinley Hall,"Koenker, R"
2016,fall,ECON,471,2,UNKNOWN,66588,Lecture-Discussion,A3,11:00 AM - 12:20 PM,MW,123David Kinley Hall,"Yang, L"
2016,fall,ECON,471,2,UNKNOWN,66620,Lecture-Discussion,B3,02:00 PM - 03:20 PM,TR,123David Kinley Hall,"Arvin-Rad, H"
2016,fall,ECON,471,2,UNKNOWN,66623,Lecture-Discussion,C3,03:30 PM - 04:50 PM,TR,123David Kinley Hall,"Arvin-Rad, H"
2016,fall,ECON,411,2,UNKNOWN,66666,Lecture-Discussion,A3,11:00 AM - 12:20 PM,TR,123David Kinley Hall,"Arvin-Rad, H"
2016,fall,ECON,411,2,UNKNOWN,66719,Lecture-Discussion,A4,11:00 AM - 12:20 PM,TR,123David Kinley Hall,"Arvin-Rad, H"
2016,fall,ECON,411,2,UNKNOWN,66614,Lecture-Discussion,B3,12:30 PM - 01:50 PM,TR,123David Kinley Hall,"Arvin-Rad, H"
2016,fall,ECON,411,2,UNKNOWN,66725,Lecture-Discussion,B4,12:30 PM - 01:50 PM,TR,123David Kinley Hall,"Arvin-Rad, H"
2016,fall,ECON,531,4,,,Lecture,A1,01:00 PM - 02:50 PM,MW,115David Kinley Hall,"Parente, S"
2016,fall,ECON,530,4,,,Lecture,2,11:00 AM - 12:20 PM,MW,1049Business Instructional Fac,"Miller, N"
2016,fall,ECON,530,4,,,Lecture,A1,09:00 AM - 10:50 AM,MW,115David Kinley Hall,"Lemus Encalada, J"
2016,fall,ECON,510,4,UNKNOWN,64713,Lecture-Discussion,M1,04:00 PM - 05:50 PM,TR,119David Kinley Hall,"Giertz, J"
2016,fall,ECON,513,4,UNKNOWN,64714,Lecture-Discussion,M1,10:00 AM - 11:50 AM,TR,119David Kinley Hall,"Das, S"
2016,fall,ECON,517,4,UNKNOWN,64715,Lecture-Discussion,M1,08:00 AM - 09:50 AM,MW,123David Kinley Hall,"Zhao, R"
2016,fall,EPS,590,4,UNKNOWN,56631,Lecture-Discussion,B,01:00 PM - 03:50 PM,T,166Education Building,"Dhillon, P"
2016,fall,EPS,590,4,UNKNOWN,52760,Lecture-Discussion,BF,01:00 PM - 03:50 PM,W,215BDavid Kinley Hall,"Brown, R"
2016,fall,EPS,590,4,UNKNOWN,54894,Lecture-Discussion,LAN,04:00 PM - 06:50 PM,W,385Education Building,"Dyson, A"
2016,fall,EPS,590,4,UNKNOWN,64743,Lecture-Discussion,WCC,04:00 PM - 06:50 PM,M,385Education Building,"Dyson, A"
2016,fall,EPS,579,4,UNKNOWN,60841,Lecture-Discussion,A,01:00 PM - 03:50 PM,R,17Education Building,"Trent, W"
2016,fall,EPS,199,1,UNKNOWN,60614,Lecture-Discussion,HST,03:00 PM - 04:50 PM,F,166Education Building,"Witt, M"
2016,fall,EPS,310,4,,,Lecture,A,02:00 PM - 03:50 PM,T,22Education Building,"Anderson, JVelez, AWard, R"
2016,fall,EPS,310,4,,,Lecture,B,02:00 PM - 03:50 PM,T,22Education Building,"Anderson, JVelez, AWard, R"
2016,fall,EPS,402,4,UNKNOWN,45412,Lecture-Discussion,A,02:00 PM - 03:50 PM,W,22Education Building,"Pak, YSanya, B"
2016,fall,EPS,402,4,UNKNOWN,64997,Lecture-Discussion,B,02:00 PM - 03:50 PM,W,22Education Building,"Pak, YSanya, B"
2016,fall,EPS,508,4,UNKNOWN,60377,Lecture-Discussion,A,04:00 PM - 06:50 PM,W,389Education Building,"Higgins, C"
2016,fall,EPS,400,2,UNKNOWN,30235,Lecture-Discussion,A,04:00 PM - 05:50 PM,R,219David Kinley Hall,"Span, C"
2016,fall,EPS,400,2,UNKNOWN,64985,Lecture-Discussion,B,04:00 PM - 05:50 PM,R,219David Kinley Hall,"Span, C"
2016,fall,EPS,421,2,UNKNOWN,54748,Lecture-Discussion,A,01:00 PM - 02:50 PM,T,323Education Building,"Barnett, B"
2016,fall,EPS,421,2,UNKNOWN,64988,Lecture-Discussion,B,01:00 PM - 02:50 PM,T,323Education Building,"Barnett, B"
2016,fall,EPS,420,2,UNKNOWN,33715,Lecture-Discussion,A,10:00 AM - 11:50 AM,T,323Education Building,"Barnett, B"
2016,fall,EPS,420,2,UNKNOWN,64995,Lecture-Discussion,B,10:00 AM - 11:50 AM,T,323Education Building,"Barnett, B"
2016,fall,EPS,500,2,UNKNOWN,46842,Lecture-Discussion,G1,11:00 AM - 12:20 PM,MW,1031207 W Oregon,"Glisch-Sanchez, D"
2016,fall,EPS,201,3,UNKNOWN,33520,Lecture,AL1,11:00 AM - 11:50 AM,TR,319Gregory Hall,"Higgins, C"
2016,fall,EPS,202,4,UNKNOWN,31922,Lecture,AL1,11:00 AM - 11:50 AM,TR,319Gregory Hall,"Higgins, C"
2016,fall,EPS,531,4,UNKNOWN,59069,Lecture-Discussion,MPC,04:00 PM - 06:50 PM,M,389Education Building,"Dixson, A"
2016,fall,EPS,517,4,UNKNOWN,66115,Lecture,A,01:00 PM - 03:50 PM,W,323Education Building,"Burbules, N"
2016,fall,MUSE,200,3,UNKNOWN,55606,Lecture-Discussion,1,09:30 AM - 10:50 AM,TR,329Davenport Hall,"Aben, K"
2016,fall,MUSE,390,3,UNKNOWN,60355,Lecture,1,ARRANGED -,,,"Frankenberg, S"
2016,fall,CPSC,215,3,UNKNOWN,60263,Lecture-Discussion,A,03:30 PM - 05:50 PM,TR,432Armory,"Voigt, T"
2016,fall,CPSC,598,1,UNKNOWN,37023,Lecture-Discussion,C1,12:00 PM - 12:50 PM,R,W109Turner Hall,"Babadoost, MJuvik, J"
2016,fall,CPSC,598,1,UNKNOWN,37021,Lecture-Discussion,C2,12:00 PM - 12:50 PM,R,W109Turner Hall,"Babadoost, MJuvik, J"
