"",A,B,C,D,F,I,S,U,V,W Aver. Tota
Accounting - ACCT 2101 A,13,15,6,2,1,,,,,6 3.00 43
Accounting - ACCT 2101 B,17,26,9,7,,1,,,,5 2.90 65
Accounting - ACCT 2101 C,18,19,10,2,,,1,,,3 3.08 53
Accounting - ACCT 2101 D,23,27,12,1,,,,,,1 3.14 64
Accounting - ACCT 2101 E,37,22,6,,,,,,,3.48 65
Accounting - ACCT 2102 A,19,13,8,1,,,,,,1 3.22 42
Accounting - ACCT 2102 B,16,14,5,4,,1,,,,3 3.08 43
Accounting - ACCT 2102 C,37,19,12,1,,,,,,3.33 69
Aerospace Engineering - AE 1355 CLA,2,,,,,,,,,4.00 2
Aerospace Engineering - AE 1355 MAV,10,,,,,,,,,1 4.00 11
Aerospace Engineering - AE 1601 A,29,2,2,,1,,,,,5 3.71 39
Aerospace Engineering - AE 1601 B,35,7,,,,,,,,3.83 42
Aerospace Engineering - AE 1601 C,28,9,,,1,,,,,4 3.66 42
Aerospace Engineering - AE 2010 A,10,25,11,12,4,3,,,,4 2.40 69
Aerospace Engineering - AE 2010 B,17,30,11,1,1,,1,,,3 3.02 64
Aerospace Engineering - AE 2010 R,1,5,2,,,,,,,2.88 8
Aerospace Engineering - AE 2220 A,13,14,10,3,2,,,,,2 2.79 44
Aerospace Engineering - AE 2220 B,19,13,12,12,2,,,,,3 2.60 61
Aerospace Engineering - AE 2220 R,21,14,2,,,,,,,3.51 37
Aerospace Engineering - AE 2355 CLA,2,2,,,,,,,,3.50 4
Aerospace Engineering - AE 2355 MAV,5,,,,,,,,,1 4.00 6
Aerospace Engineering - AE 2610 A,12,6,2,,,,,,,3.50 20
Aerospace Engineering - AE 2610 B,17,2,,,1,,,,,1 3.70 21
Aerospace Engineering - AE 2610 C,15,4,1,,,,,,,3.70 20
Aerospace Engineering - AE 2610 D,15,3,1,,,,,,,1 3.74 20
Aerospace Engineering - AE 2610 E,11,4,3,,1,,,,,3.26 19
Aerospace Engineering - AE 2611 A,82,4,5,1,2,,,,,2 3.73 96
Aerospace Engineering - AE 2698 FER,,,,,,,,,2,2
Aerospace Engineering - AE 2698 MAV,,,,,,,,,1,1
Aerospace Engineering - AE 2699 COS,7,,,,,,,,,4.00 7
Aerospace Engineering - AE 2699 FER,,1,,,,,,,,3.00 1
Aerospace Engineering - AE 2699 GUN,7,,,,,,,,,4.00 7
Aerospace Engineering - AE 2699 HOL,6,1,,,,,,,,3.86 7
Aerospace Engineering - AE 2699 JOH,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 2699 KOM,7,,,,,,,,,4.00 7
Aerospace Engineering - AE 2699 LIE,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 2699 LIG,5,,,,,,,,,4.00 5
Aerospace Engineering - AE 2699 MAV,38,1,,,,1,,,,3.97 40
Aerospace Engineering - AE 2699 MEN,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 2699 RUF,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 2699 SAN,,,,,,,,,,1 1
Aerospace Engineering - AE 2699 SCH,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 2699 SEI,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 2699 THE,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 2699 WAL,2,,,,,,,,,4.00 2
Aerospace Engineering - AE 2699 ZIN,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 2802 A,,,1,,,,,,,2.00 1
Aerospace Engineering - AE 2802 B,,,1,1,,,,,,1.50 2
Aerospace Engineering - AE 3030 A,29,17,25,3,1,,,,,2 2.93 77
Aerospace Engineering - AE 3140 A,20,19,13,7,3,,,,,7 2.74 69
