"",A,B,C,D,F,I,S,U,V,W Aver. Total
Accounting - ACCT 2101 ES,8,4,,1,1,,,,,2 3.21 16
Accounting - ACCT 2102 LS,24,11,3,,,,,,,3 3.55 41
Aerospace Engineering - AE 2020 A,12,4,7,3,,,,,,3 2.96 29
Aerospace Engineering - AE 2220 A,10,13,9,,,,,,,2 3.03 34
Aerospace Engineering - AE 2699 GER,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 2699 HOL,2,,,,,,,,,4.00 2
Aerospace Engineering - AE 2699 KOM,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 2699 LIE,2,,,,,,,,,4.00 2
Aerospace Engineering - AE 2699 MAV,5,1,,,,,,,,3.83 6
Aerospace Engineering - AE 2699 PRA,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 2699 SCH,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 2801 ROX,12,12,5,,,,,,,3.24 29
Aerospace Engineering - AE 3021 R,11,18,1,,,,,,,3.33 30
Aerospace Engineering - AE 3310 A,15,17,4,,1,,,,,3.22 37
Aerospace Engineering - AE 3310 R,8,10,4,,,,,,,3.18 22
Aerospace Engineering - AE 3450 A,7,8,7,1,2,,,,,2 2.68 27
Aerospace Engineering - AE 3515 R,6,15,6,,,,,,,3.00 27
Aerospace Engineering - AE 3521 A,7,7,13,2,,,,,,1 2.66 30
Aerospace Engineering - AE 3521 R,7,11,9,,,,,,,2.93 27
Aerospace Engineering - AE 3801 A,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 4698 GUN,,,,,,,,,1,1
Aerospace Engineering - AE 4698 HOL,,,,,,,,,2,2
Aerospace Engineering - AE 4698 KOM,,,,,,,,,1,1
Aerospace Engineering - AE 4698 LIE,,,,,,,,,1,1
Aerospace Engineering - AE 4698 MAV,,,,,,,,,2,2
Aerospace Engineering - AE 4698 SAN,,,,,,,,,1,1
Aerospace Engineering - AE 4698 SCH,,,,,,,,,1,1
Aerospace Engineering - AE 4698 SEI,,,,,,,,,2,2
Aerospace Engineering - AE 4698 WAL,,,,,,,,,1,1
Aerospace Engineering - AE 4699 FEI,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 4699 GER,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 4699 HOL,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 4699 KOM,,,,,1,,,,,0.00 1
Aerospace Engineering - AE 4699 LIE,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 4699 MAV,13,,,,,,,,,1 4.00 14
Aerospace Engineering - AE 4699 PRA,,1,,,,,,,,3.00 1
Aerospace Engineering - AE 4699 RPR,13,,,,,,,,,4.00 13
Aerospace Engineering - AE 4699 RSA,18,4,,,,,,,,3.82 22
Aerospace Engineering - AE 4699 RSE,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 4699 SCA,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 4699 SPE,4,,,,,,,,,4.00 4
Aerospace Engineering - AE 4699 SUN,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 4699 WAL,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 4699 ZIN,2,,,,,,,,,4.00 2
Aerospace Engineering - AE 4701 R,12,1,,,,,,,,3.92 13
Aerospace Engineering - AE 4803 JOH,,1,,,,,,,,3.00 1
Aerospace Engineering - AE 4803 QJ1,3,,,,,,,,,4.00 3
Aerospace Engineering - AE 6050 A,8,8,1,,,,,,3,3.41 20
Aerospace Engineering - AE 6050 Q,3,1,,,,,,,,1 3.75 5
Aerospace Engineering - AE 6070 A,6,,,,,,,,,4.00 6
Aerospace Engineering - AE 6070 Q,7,2,,,1,,,,,3.40 10
Aerospace Engineering - AE 6701 Q,5,,,,,,,,,4.00 5
Aerospace Engineering - AE 7000 AHU,,,,,,,1,,,1
Aerospace Engineering - AE 7000 BRA,,,,,,,1,,,1
Aerospace Engineering - AE 7000 COS,,,,,,,1,,,1
Aerospace Engineering - AE 7000 FEI,,,,,,,1,,,1
Aerospace Engineering - AE 7000 HOD,,,,,,,2,,,2
Aerospace Engineering - AE 7000 HOL,,,,,,,2,,,2
