"",A,B,C,D,F,I,S,U,V,W Aver. Tota
Aerospace Engineering - AE 4357 IP2,,1,,,,,,,,3.00 1
Aerospace Engineering - AE 4358 A,9,6,,,,,,,,1 3.60 16
Aerospace Engineering - AE 4451 A,19,30,10,2,,,,,,5 3.08 66
Aerospace Engineering - AE 4451 B,22,10,9,1,5,,,,,12 2.91 59
Aerospace Engineering - AE 4525 A,2,9,4,,,,,,,2 2.87 17
Aerospace Engineering - AE 4525 B,6,7,3,,,,,,,1 3.19 17
Aerospace Engineering - AE 4525 C,4,6,2,1,,,,,,3.00 13
Aerospace Engineering - AE 4525 D,6,4,3,,,,,,,1 3.23 14
Aerospace Engineering - AE 4525 E,5,10,2,,,,,,,3.18 17
Aerospace Engineering - AE 4698 AHU,,,,,,,,,1,1
Aerospace Engineering - AE 4698 BRA,,,,,,,,,2,2
Aerospace Engineering - AE 4698 CLA,,,,,,,,,1,1
Aerospace Engineering - AE 4698 HOL,,,,,,,,,2,2
Aerospace Engineering - AE 4698 KOM,,,,,,,,,1,1
Aerospace Engineering - AE 4698 LIE,,,,,,,,,1,1
Aerospace Engineering - AE 4698 MAV,,,,,,,,,6,6
Aerospace Engineering - AE 4698 RIM,,,,,,,,,1,1
Aerospace Engineering - AE 4698 SEI,,,,,,,,,2,2
Aerospace Engineering - AE 4698 SMI,,,,,,,,,2,2
Aerospace Engineering - AE 4699 BRA,2,,,,,,,,,4.00 2
Aerospace Engineering - AE 4699 CLA,4,,,,,,,,,4.00 4
Aerospace Engineering - AE 4699 COS,3,,,,,,,,,4.00 3
Aerospace Engineering - AE 4699 CRA,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 4699 FEI,3,,,,,,,,,4.00 3
Aerospace Engineering - AE 4699 FER,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 4699 GER,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 4699 GUN,17,,,,,,,,,4.00 17
Aerospace Engineering - AE 4699 HOL,20,3,1,,,,,,,3.79 24
Aerospace Engineering - AE 4699 JAG,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 4699 JOH,1,2,,,,,,,,3.33 3
Aerospace Engineering - AE 4699 KOM,6,,,,,,,,,4.00 6
Aerospace Engineering - AE 4699 LIE,9,,,,,,,,,4.00 9
Aerospace Engineering - AE 4699 LIE,A,B,C,D,F,I,S,U,V,W Aver. Tota
Aerospace Engineering - AE 4699 LIG,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 4699 MAV,49,,,,,,,,,1 4.00 50
Aerospace Engineering - AE 4699 MEN,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 4699 PRA,1,1,,,,,,,,3.50 2
Aerospace Engineering - AE 4699 PRI,2,,,,,,,,,4.00 2
Aerospace Engineering - AE 4699 R,3,5,,,,,,,,3.38 8
Aerospace Engineering - AE 4699 RUZ,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 4699 SAL,1,,,,,,,,,1 4.00 2
Aerospace Engineering - AE 4699 SAN,9,,,,1,,,,,1 3.60 11
Aerospace Engineering - AE 4699 SCH,2,,,,,,,,,4.00 2
Aerospace Engineering - AE 4699 SEI,4,,,,,,,,,4.00 4
Aerospace Engineering - AE 4699 SMI,4,,,,,,,,,4.00 4
Aerospace Engineering - AE 4699 SPE,4,,,,,,,,,4.00 4
Aerospace Engineering - AE 4699 SUN,2,,,,,,,,,4.00 2
Aerospace Engineering - AE 4699 THE,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 4699 WAL,5,,,,,,,,,1 4.00 6
Aerospace Engineering - AE 4699 ZIN,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 4701 A,17,3,,,,,,,,2 3.85 22
Aerospace Engineering - AE 4760 A,4,2,,,,,,,,3.67 6
Aerospace Engineering - AE 4791 A,5,,,,,,,,,4.00 5
Aerospace Engineering - AE 4791 Q,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 4803 QJA,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 4803 SPE,26,6,1,,,,,,1,1 3.76 35
Aerospace Engineering - AE 6009 A,21,14,4,,,,1,,,1 3.44 41
Aerospace Engineering - AE 6009 Q,,4,,,,,,,,1 3.00 5
Aerospace Engineering - AE 6030 A,17,4,1,,,,,,,4 3.73 26
Aerospace Engineering - AE 6030 Q,3,,,,,,,,,4.00 3
Aerospace Engineering - AE 6070 Q,8,,,,,,,,,4.00 8
Aerospace Engineering - AE 6114 A,16,5,,,,,,,1,2 3.76 24
Aerospace Engineering - AE 6230 A,10,7,1,,,,,,3,3.50 21
Aerospace Engineering - AE 6333 A,8,,1,,,,,,1,2 3.78 12
Aerospace Engineering - AE 6333 Q,2,,,,,,,,,4.00 2
Aerospace Engineering - AE 6343 A,42,11,1,,,,,,,6 3.76 60
Aerospace Engineering - AE 6343 Q,2,1,,,,,,,,3.67 3
Aerospace Engineering - AE 6353 A,15,11,3,1,,,,,4,2 3.33 36
Aerospace Engineering - AE 6353 Q,4,1,1,,,,,,,1 3.50 7
Aerospace Engineering - AE 6372 A,35,,,,,,,,1,4.00 36
Aerospace Engineering - AE 6372 Q,13,,,,,,,,,1 4.00 14
Aerospace Engineering - AE 6373 A,26,26,2,,,,,,1,3.44 55
Aerospace Engineering - AE 6373 Q,4,3,,,,,,,,3.57 7
Aerospace Engineering - AE 6383 MAV,44,,,,,,,,,4.00 44
Aerospace Engineering - AE 6383 SCH,5,,,,,,,,,1 4.00 6
Aerospace Engineering - AE 6410 A,13,3,2,,,,,,,3.61 18
Aerospace Engineering - AE 6410 Q,2,,,,,,,,,1 4.00 3
Aerospace Engineering - AE 6451 A,4,4,1,,,,,,1,3.33 10
Aerospace Engineering - AE 6530 A,6,8,6,,1,,,,2,8 2.86 31
Aerospace Engineering - AE 6701 A,8,,2,,,,,,,1 3.60 11
Aerospace Engineering - AE 6701 Q,,1,,,,,,,,3.00 1
Aerospace Engineering - AE 6721 A,7,3,,,,,,,,3.70 10
Aerospace Engineering - AE 6761 A,3,,,,,,,,,4.00 3
Aerospace Engineering - AE 6765 A,22,19,6,,,,1,,,4 3.34 52
Aerospace Engineering - AE 6765 Q,4,2,,,,,,,,3.67 6
Aerospace Engineering - AE 6769 A,1,,,,,,,,1,4.00 2
Aerospace Engineering - AE 7000 AHU,,,,,,,2,,,2
Aerospace Engineering - AE 7000 BRA,,,,,,,6,,,6
Aerospace Engineering - AE 7000 CLA,,,,,,,2,,,2
Aerospace Engineering - AE 7000 COS,,,,,,,5,,,5
Aerospace Engineering - AE 7000 FER,,,,,,,2,,,2
Aerospace Engineering - AE 7000 FER,A,B,C,D,F,I,S,U,V,W Aver. Tota
Aerospace Engineering - AE 7000 GUN,,,,,,,3,,,3
Aerospace Engineering - AE 7000 HOD,,,,,,,1,,,1
Aerospace Engineering - AE 7000 HOL,,,,,,,4,,,4
Aerospace Engineering - AE 7000 JAG,,,,,,,8,,,8
Aerospace Engineering - AE 7000 JOH,,,,,,,2,,,2
Aerospace Engineering - AE 7000 KAR,,,,,,,5,,,5
Aerospace Engineering - AE 7000 KEN,,,,,,,2,,,2
Aerospace Engineering - AE 7000 KOM,,,,,,,3,,,3
Aerospace Engineering - AE 7000 LIE,,,,,,,4,,,4
Aerospace Engineering - AE 7000 LIG,,,,,,,2,,,2
Aerospace Engineering - AE 7000 MAV,,,,,,,66,,,66
Aerospace Engineering - AE 7000 MEN,,,,,,,1,,,1
Aerospace Engineering - AE 7000 PRA,,,,,,,3,,,3
Aerospace Engineering - AE 7000 PRI,,,,,,,2,,,2
Aerospace Engineering - AE 7000 QAH,,,,,,,1,,,1
Aerospace Engineering - AE 7000 QMA,,,,,,,1,,,1
Aerospace Engineering - AE 7000 RIM,,,,,,,2,,,2
Aerospace Engineering - AE 7000 RUF,,,,,,,3,,,3
Aerospace Engineering - AE 7000 RUZ,,,,,,,1,,,1
Aerospace Engineering - AE 7000 SAL,,,,,,,1,,,1
Aerospace Engineering - AE 7000 SAN,,,,,,,5,,,5
Aerospace Engineering - AE 7000 SCH,,,,,,,7,,,7
Aerospace Engineering - AE 7000 SEI,,,,,,,2,,,2
Aerospace Engineering - AE 7000 SMI,,,,,,,5,,,5
Aerospace Engineering - AE 7000 SPE,,,,,,,5,,,5
Aerospace Engineering - AE 7000 SUN,,,,,,,2,,,2
Aerospace Engineering - AE 7000 TSI,,,,,,,1,,,1
Aerospace Engineering - AE 7000 WAL,,,,,,,1,,,1
Aerospace Engineering - AE 7000 YAN,,,,,,,2,,,2
Aerospace Engineering - AE 7000 YEU,,,,,,,3,,,3
Aerospace Engineering - AE 7772 A,3,1,,,,,,,1,1 3.75 6
Aerospace Engineering - AE 7772 Q,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 7785 A,8,,,,,,,,,4.00 8
Aerospace Engineering - AE 8801 QSM,2,,,,,,,,,4.00 2
Aerospace Engineering - AE 8801 QSO,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 8801 SOS,8,,,,,,,,,4.00 8
Aerospace Engineering - AE 8803 KOM,9,,,,,,,,,1 4.00 10
Aerospace Engineering - AE 8803 QJA,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 8803 SOS,13,1,,,,,,,,3.93 14
Aerospace Engineering - AE 8803 THE,34,1,,,,,1,,3,3 3.97 42
Aerospace Engineering - AE 8900 BRA,,1,,,,,,,,3.00 1
Aerospace Engineering - AE 8900 GUN,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 8900 HOD,1,,,,,,,,,1 4.00 2
Aerospace Engineering - AE 8900 HOL,4,,,,,,,,,4.00 4
Aerospace Engineering - AE 8900 JAG,1,1,,,,,,,,3.50 2
Aerospace Engineering - AE 8900 KAR,2,,,,,,,,,4.00 2
Aerospace Engineering - AE 8900 KOM,2,,,,,,,,,4.00 2
Aerospace Engineering - AE 8900 LIE,3,,,,,,,,,4.00 3
Aerospace Engineering - AE 8900 MAV,18,,,,,,,,,4.00 18
Aerospace Engineering - AE 8900 MEN,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 8900 QAH,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 8900 QCO,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 8900 QJO,,1,,,,,,,,3.00 1
Aerospace Engineering - AE 8900 QKE,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 8900 QMA,2,,,,,,,,,4.00 2
Aerospace Engineering - AE 8900 QSM,3,,,,,,,,,4.00 3
Aerospace Engineering - AE 8900 QTH,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 8900 SAN,2,,,,,,,,,4.00 2
Aerospace Engineering - AE 8900 SAN,A,B,C,D,F,I,S,U,V,W Aver. Tota
Aerospace Engineering - AE 8900 SMI,2,,,,,,,,,4.00 2
Aerospace Engineering - AE 8900 SPE,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 8900 TSI,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 9000 AHU,,,,,,,1,,,1
Aerospace Engineering - AE 9000 BRA,,,,,,,7,,,7
Aerospace Engineering - AE 9000 CLA,,,,,,,1,,,1
Aerospace Engineering - AE 9000 COS,,,,,,,3,1,,4
Aerospace Engineering - AE 9000 FEI,,,,,,,5,,,5
Aerospace Engineering - AE 9000 FER,,,,,,,2,,,2
Aerospace Engineering - AE 9000 GER,,,,,,,4,,,4
Aerospace Engineering - AE 9000 GUN,,,,,,,2,,,2
Aerospace Engineering - AE 9000 HAD,,,,,,,3,,,3
Aerospace Engineering - AE 9000 HOD,,,,,,,3,,,3
Aerospace Engineering - AE 9000 HOL,,,,,,,3,,,3
Aerospace Engineering - AE 9000 JAG,,,,,,,5,,,5
Aerospace Engineering - AE 9000 JOH,,,,,,,9,,,9
Aerospace Engineering - AE 9000 KAR,,,,,,,3,,,3
Aerospace Engineering - AE 9000 KEN,,,,,,,1,,,1
Aerospace Engineering - AE 9000 KOM,,,,,,,2,,,2
Aerospace Engineering - AE 9000 LIE,,,,,,,8,,,8
Aerospace Engineering - AE 9000 LIG,,,,,,,3,,,3
